year,base_year,value,index_type,series_type,series_deflated,data_version
1993,1968,7.96,productivity,indexed,nominal,"November 9, 2023"
1994,1968,8.2,productivity,indexed,nominal,"November 9, 2023"
1995,1968,8.4,productivity,indexed,nominal,"November 9, 2023"
1996,1968,8.73,productivity,indexed,nominal,"November 9, 2023"
1997,1968,9.05,productivity,indexed,nominal,"November 9, 2023"
1998,1968,9.37,productivity,indexed,nominal,"November 9, 2023"
1999,1968,9.77,productivity,indexed,nominal,"November 9, 2023"
2000,1968,10.22,productivity,indexed,nominal,"November 9, 2023"
2001,1968,10.63,productivity,indexed,nominal,"November 9, 2023"
2002,1968,11.12,productivity,indexed,nominal,"November 9, 2023"
2003,1968,11.74,productivity,indexed,nominal,"November 9, 2023"
2004,1968,12.39,productivity,indexed,nominal,"November 9, 2023"
2005,1968,13,productivity,indexed,nominal,"November 9, 2023"
2006,1968,13.47,productivity,indexed,nominal,"November 9, 2023"
2007,1968,13.95,productivity,indexed,nominal,"November 9, 2023"
2008,1968,14.36,productivity,indexed,nominal,"November 9, 2023"
2009,1968,14.87,productivity,indexed,nominal,"November 9, 2023"
2010,1968,15.54,productivity,indexed,nominal,"November 9, 2023"
2011,1968,15.86,productivity,indexed,nominal,"November 9, 2023"
2012,1968,16.21,productivity,indexed,nominal,"November 9, 2023"
2013,1968,16.61,productivity,indexed,nominal,"November 9, 2023"
2014,1968,16.97,productivity,indexed,nominal,"November 9, 2023"
2015,1968,17.28,productivity,indexed,nominal,"November 9, 2023"
2016,1968,17.54,productivity,indexed,nominal,"November 9, 2023"
2017,1968,18.07,productivity,indexed,nominal,"November 9, 2023"
2018,1968,18.68,productivity,indexed,nominal,"November 9, 2023"
2019,1968,19.25,productivity,indexed,nominal,"November 9, 2023"
2020,1968,20.21,productivity,indexed,nominal,"November 9, 2023"
2021,1968,21.56,productivity,indexed,nominal,"November 9, 2023"
2022,1968,22.73,productivity,indexed,nominal,"November 9, 2023"
2023,1968,23.7,productivity,indexed,nominal,"November 9, 2023"
2009,2009,7.25,productivity,indexed,nominal,"November 9, 2023"
2010,2009,7.58,productivity,indexed,nominal,"November 9, 2023"
2011,2009,7.73,productivity,indexed,nominal,"November 9, 2023"
2012,2009,7.91,productivity,indexed,nominal,"November 9, 2023"
2013,2009,8.1,productivity,indexed,nominal,"November 9, 2023"
2014,2009,8.27,productivity,indexed,nominal,"November 9, 2023"
2015,2009,8.43,productivity,indexed,nominal,"November 9, 2023"
2016,2009,8.55,productivity,indexed,nominal,"November 9, 2023"
2017,2009,8.81,productivity,indexed,nominal,"November 9, 2023"
2018,2009,9.11,productivity,indexed,nominal,"November 9, 2023"
2019,2009,9.39,productivity,indexed,nominal,"November 9, 2023"
2020,2009,9.85,productivity,indexed,nominal,"November 9, 2023"
2021,2009,10.51,productivity,indexed,nominal,"November 9, 2023"
2022,2009,11.08,productivity,indexed,nominal,"November 9, 2023"
2023,2009,11.56,productivity,indexed,nominal,"November 9, 2023"
1968,1968,1.6,inflation,indexed,nominal,"November 9, 2023"
1969,1968,1.67,inflation,indexed,nominal,"November 9, 2023"
1970,1968,1.75,inflation,indexed,nominal,"November 9, 2023"
1971,1968,1.83,inflation,indexed,nominal,"November 9, 2023"
1972,1968,1.88,inflation,indexed,nominal,"November 9, 2023"
1973,1968,2,inflation,indexed,nominal,"November 9, 2023"
1974,1968,2.2,inflation,indexed,nominal,"November 9, 2023"
1975,1968,2.38,inflation,indexed,nominal,"November 9, 2023"
1976,1968,2.52,inflation,indexed,nominal,"November 9, 2023"
1977,1968,2.68,inflation,indexed,nominal,"November 9, 2023"
1978,1968,2.86,inflation,indexed,nominal,"November 9, 2023"
1979,1968,3.13,inflation,indexed,nominal,"November 9, 2023"
1980,1968,3.48,inflation,indexed,nominal,"November 9, 2023"
1981,1968,3.81,inflation,indexed,nominal,"November 9, 2023"
1982,1968,4.04,inflation,indexed,nominal,"November 9, 2023"
1983,1968,4.21,inflation,indexed,nominal,"November 9, 2023"
1984,1968,4.39,inflation,indexed,nominal,"November 9, 2023"
